year,month,u10,v10,mx2t,mn2t,tcc,t2,msl,t,q,u,v,z,SPI,grid_ID
1985,8,-0.251570009,-0.473943125,294.8876766,282.5598588,0.227197412,288.4230612,101834.0406,287.1706031,0.004668586,-2.05001774,-2.895030387,1330.378653,1.163903193,303
1985,9,0.015779463,1.20388853,297.2077474,283.4421611,0.15151352,290.3318441,101722.4573,287.8948527,0.003576123,-1.818404676,-1.417582569,1200.993418,-0.037898343,303
1986,1,-1.626858694,0.152400385,307.2139292,294.4547208,0.297978553,300.5183066,100819.7651,298.0509653,0.007015941,-3.600271187,-3.126752179,490.5718109,-0.358500623,303
1986,10,0.573926305,-0.133780747,301.7085168,288.3689211,0.273021538,294.8343535,101347.6951,292.3086814,0.005036939,-1.935131197,-2.988958142,912.5912013,0.95691725,303
1986,11,-0.833138069,0.268224532,304.190859,291.2651611,0.247966239,297.6732127,101190.6172,294.8703023,0.005685545,-2.782312003,-2.93655149,798.3344217,0.668109375,303
1986,12,-1.077866085,0.44859339,307.1495558,293.579578,0.2549199,300.2389024,101129.0209,297.5568198,0.00587804,-3.512898997,-2.427791829,747.443509,0.210118878,303
1986,2,-0.983192295,-0.579137832,307.0692084,295.3010428,0.304389649,301.1020671,100864.9389,298.6956722,0.009000887,-3.112914128,-3.455346605,540.1084513,0.502904441,303
1986,3,-2.245184461,0.134119432,306.2594683,293.5257864,0.101990877,299.7305692,101454.2061,296.8922493,0.006390134,-3.633098875,-2.927963308,1032.244595,-1.748347762,303
1986,4,-1.778516864,0.830485752,302.5582102,290.3400187,0.226638992,296.0536906,101615.4633,293.8908722,0.00618133,-3.088809176,-1.646612548,1174.080263,-0.092729208,303
1986,5,-1.282037994,0.527249523,296.8899644,285.5925234,0.285341797,290.7005261,101875.8191,289.7023788,0.006616306,-2.442594183,-1.432661868,1389.951763,0.203500878,303
1986,6,-1.286984337,1.32375146,292.136791,281.3305471,0.382950712,286.3614024,101892.9555,285.5646128,0.005082212,-2.41231943,-0.419458837,1406.625216,0.05277865,303
1986,7,-0.679871193,0.254473511,290.9674968,280.9244739,0.358152345,285.6548275,102023.7593,283.8897587,0.005157435,-2.063664238,-1.69638438,1485.284318,1.380347675,303
1986,8,-0.034847469,0.670540805,292.5116774,280.4049889,0.227920513,286.5065741,101725.9441,285.4108227,0.004233418,-1.84959282,-1.401606469,1238.075938,1.115075706,303
1986,9,-0.021239555,-0.135004239,299.4474752,285.5642832,0.217207188,292.1507385,101580.394,290.0019775,0.004125763,-2.114158302,-2.994879123,1121.411879,0.767121863,303
1987,1,-0.660627897,-1.229080183,307.9309673,296.8162281,0.392801311,302.0759494,100854.2457,299.751773,0.010859883,-2.757117541,-4.3548925,530.9379777,0.583697152,303
1987,10,-0.450218685,0.491884137,301.736464,288.1910341,0.26486668,294.7285058,101344.3879,292.9858231,0.005354622,-2.649156255,-2.495291251,915.5746243,1.146977371,303
1987,11,-0.785140143,-1.086842435,303.8686401,291.8962351,0.416114701,297.9858348,101093.6148,295.2263733,0.007067093,-3.043295196,-4.046014932,724.8592361,0.766262839,303
1987,12,-0.917404291,-0.996787191,307.5720707,295.5544946,0.430492422,301.5302725,101032.3843,298.6330271,0.00713392,-3.149224965,-4.243115255,673.3908148,-0.178731948,303
1987,2,-1.785635774,-1.377343042,305.3522077,295.9337006,0.48171447,300.2715149,101122.5248,298.380188,0.011107785,-3.383313758,-4.111688522,782.7465973,0.459146883,303
1987,3,-0.756835206,0.727641049,303.9282532,292.3005972,0.235219047,297.738296,101397.1273,295.5146415,0.007580804,-2.689608209,-2.314976948,991.6789334,0.150528324,303
1987,4,-2.248030019,0.503750816,301.1179993,289.9740519,0.341087499,295.1651449,101954.8193,293.3289948,0.006809602,-3.505834703,-2.141351392,1466.323051,0.167881787,303
1987,5,-1.382073936,1.050727124,295.2365555,284.5181816,0.400601639,289.4684685,102099.8029,288.03359,0.005954766,-2.731971177,-0.786267753,1574.668114,-0.135375769,303
1987,6,-1.703648192,0.662847655,292.7024445,283.2090922,0.479725764,287.7198903,102160.176,286.4734812,0.00599774,-2.945042509,-0.929581403,1630.918876,1.544315278,303
1987,7,-0.985676882,0.855905532,291.1354006,278.4984603,0.125446527,284.3539567,102288.1704,283.8543721,0.00414031,-2.398675634,-0.794329653,1722.588048,-0.257623521,303
1987,8,-0.379846583,0.98908747,293.2465623,282.168145,0.301387295,287.5571742,102040.3248,285.7960697,0.005412736,-1.875370492,-1.162174133,1508.826127,0.983660271,303
1987,9,-1.466776611,0.349128311,298.3541066,284.92771,0.188937778,291.1833567,102028.4635,289.1590434,0.004250891,-3.071856159,-2.38321877,1496.253166,-0.030350999,303
1988,1,-1.885718307,-0.382250236,309.3745747,296.9388398,0.168143906,303.2707096,101085.4745,299.7185974,0.007308906,-3.605339596,-3.944955857,704.8881304,-1.025351391,303
1988,10,-0.768126004,-0.079408283,306.6255001,292.6204253,0.141654302,299.4860663,101295.8359,296.5699364,0.004705568,-2.951090165,-3.062178841,879.9866333,-2.541705175,303
1988,11,-0.164482247,0.3707168,304.9521108,291.3063955,0.194068099,298.2203227,101003.0354,295.3056803,0.004482862,-2.340630636,-2.17798926,631.7658946,-0.320748324,303
1988,12,-2.194602683,-0.36067718,307.4463777,295.9265078,0.312710639,301.8503674,100849.531,298.0802219,0.008276222,-3.918975622,-3.343023097,501.3243823,-0.615082273,303
1988,2,-2.047015583,1.044192573,306.0599207,293.4078138,0.240241559,299.7830758,100964.757,296.6716424,0.006897733,-3.78325619,-1.817969844,610.1452128,-0.247162432,303
1988,3,-2.683619252,0.114224453,303.977293,292.5768127,0.28587734,298.2881283,101409.7112,295.1989303,0.0068559,-4.25442619,-2.353254518,992.3712561,0.112674972,303
1988,4,-1.12995155,1.549281603,298.8388967,289.5870209,0.466142868,294.1948497,101514.3487,292.2929698,0.008800491,-2.521588684,-0.27779223,1090.23338,0.503787996,303
1988,5,-0.903929925,0.377880561,296.35172,285.5392564,0.363043706,290.623985,101736.0053,289.3346085,0.006607042,-2.350022628,-1.420840534,1253.85438,0.47501167,303
1988,6,-1.217457396,1.563056258,293.3928141,281.6968547,0.223872556,286.9238251,102065.7211,285.9517466,0.005109769,-2.628135448,-0.249608215,1510.44881,-0.701471066,303
1988,7,-0.884928439,0.427832818,291.9838887,281.6036781,0.318389389,286.6103417,102084.5696,285.7135512,0.005519841,-2.432145703,-1.496759194,1546.310244,1.585591455,303
1988,8,-1.087527066,0.022008102,294.0010386,282.5346906,0.262092755,287.897331,102125.2989,286.4796674,0.0049944,-2.594732141,-1.959409954,1563.599665,1.020232204,303
1988,9,-0.149424287,-0.628936232,299.0107656,286.1877726,0.237921541,292.4131399,101566.4964,290.2997437,0.005235704,-2.089478394,-3.386523411,1098.719421,0.571188091,303
1989,1,-1.596670057,1.208236183,308.4188075,295.8593337,0.186338938,302.186172,100791.3367,298.963186,0.006213367,-3.694492405,-1.849216052,448.9006185,-1.177288201,303
